iter	Passed	Remaining
429	659	874
430	661	872
431	662	870
432	663	868
433	664	866
434	665	863
435	665	861
436	667	859
437	668	857
438	668	854
439	669	852
440	670	850
441	671	848
442	672	845
443	673	843
444	674	841
445	675	839
446	676	837
447	677	835
448	678	832
449	679	830
450	680	828
451	681	826
452	682	824
453	683	822
454	684	819
455	685	817
456	686	815
457	687	813
458	688	811
459	689	809
460	690	807
461	691	805
462	692	803
463	693	801
464	694	799
465	695	797
466	696	794
467	697	792
468	698	790
469	699	788
470	700	786
471	701	784
472	702	782
473	703	780
474	704	778
475	705	776
476	706	774
477	707	772
478	708	770
479	709	768
480	710	766
481	711	764
482	712	762
483	713	760
484	714	758
485	715	756
486	716	754
487	717	753
488	718	751
489	719	749
490	721	747
491	722	745
492	723	743
493	724	741
494	725	739
495	726	738
496	727	736
497	728	734
498	729	732
499	730	730
500	731	728
501	732	726
502	733	724
503	734	722
504	735	720
505	736	718
506	737	717
507	738	715
508	739	713
509	740	711
510	741	709
511	742	707
512	745	707
513	746	706
514	748	704
515	749	702
516	750	700
517	751	698
518	752	697
519	753	695
520	755	694
521	756	692
522	759	693
523	762	692
524	764	691
525	766	690
526	767	688
527	769	687
528	771	686
529	772	685
530	773	683
531	775	682
532	777	681
533	778	679
534	780	678
535	782	677
536	784	676
537	786	675
538	787	673
539	789	672
540	791	671
541	793	670
542	795	669
543	796	667
544	797	666
545	799	664
546	800	663
547	802	661
548	803	660
549	805	658
550	806	657
551	807	655
552	809	653
553	810	652
554	812	651
555	813	649
556	815	648
557	817	647
558	818	646
559	820	644
560	822	643
561	823	641
562	825	640
563	827	639
564	828	637
565	829	636
566	831	634
567	832	632
568	833	631
569	834	629
570	835	628
571	837	626
572	838	624
573	839	623
574	840	621
575	842	619
576	843	618
577	844	616
578	845	615
579	846	613
580	848	611
581	850	610
582	851	608
583	852	607
584	853	605
585	855	604
586	856	602
587	857	600
588	858	599
589	859	597
590	861	596
591	862	594
592	863	592
593	865	591
594	866	589
595	867	588
596	869	586
597	870	585
598	871	583
599	873	582
600	874	580
601	875	579
602	877	577
603	878	575
604	879	574
605	880	572
606	882	571
607	883	569
608	884	567
609	885	566
610	887	564
611	888	563
612	889	561
613	891	560
614	892	558
615	893	557
616	895	555
617	896	554
618	898	552
619	899	551
620	900	549
621	901	548
622	902	546
623	904	544
624	905	543
625	906	541
626	908	540
627	909	538
628	910	537
629	911	535
630	913	533
631	914	532
632	915	530
633	917	529
634	918	527
635	919	526
636	921	525
637	922	523
638	924	522
639	925	520
640	926	518
641	927	517
642	929	515
643	930	514
644	931	512
645	933	511
646	934	509
647	935	508
648	936	506
649	937	505
650	939	503
651	940	501
652	941	500
653	942	498
654	943	497
655	945	495
656	946	494
657	947	492
658	948	490
659	949	489
660	950	487
661	952	486
662	954	485
663	956	483
664	957	482
665	958	480
666	960	479
667	961	477
668	962	476
669	963	474
670	965	473
671	966	471
672	967	470
673	969	468
674	970	467
675	971	465
676	972	464
677	973	462
678	975	461
679	976	459
680	978	458
681	979	456
682	980	455
683	981	453
684	982	451
685	983	450
686	984	448
687	986	447
688	987	445
689	988	444
690	989	442
691	990	440
692	991	439
693	993	437
694	994	436
695	995	434
696	996	433
697	997	431
698	998	430
699	999	428
700	1000	426
701	1001	425
702	1002	423
703	1003	421
704	1004	420
705	1005	418
706	1006	417
707	1007	415
708	1008	413
709	1009	412
710	1010	410
711	1011	408
712	1012	407
713	1013	405
714	1014	404
715	1014	402
716	1015	400
717	1016	399
718	1017	397
719	1018	396
720	1019	394
721	1020	393
722	1021	391
723	1022	389
724	1023	388
725	1024	386
726	1025	385
727	1026	383
728	1027	381
729	1028	380
730	1029	378
731	1030	377
732	1031	375
733	1032	374
734	1033	372
735	1034	370
736	1035	369
737	1036	367
738	1037	366
739	1038	364
740	1039	363
741	1040	361
742	1040	360
743	1041	358
744	1042	356
745	1043	355
746	1044	353
747	1045	352
748	1046	350
749	1047	349
750	1048	347
751	1049	346
752	1050	344
753	1051	343
754	1052	341
755	1053	339
756	1054	338
757	1055	336
758	1056	335
759	1057	333
760	1058	332
761	1059	330
762	1059	329
763	1060	327
764	1061	326
765	1062	324
766	1063	323
767	1064	321
768	1065	320
769	1066	318
770	1067	317
771	1068	315
772	1069	314
773	1070	312
774	1071	311
775	1072	309
776	1073	308
777	1074	306
778	1075	305
779	1076	303
780	1077	302
781	1078	300
782	1079	299
783	1080	297
784	1081	296
785	1082	294
786	1082	293
787	1083	291
788	1084	290
789	1085	288
790	1086	287
791	1087	285
792	1088	284
793	1089	282
794	1090	281
795	1091	279
796	1092	278
797	1093	276
798	1094	275
799	1095	273
800	1096	272
801	1097	270
802	1098	269
803	1099	267
804	1100	266
805	1101	265
806	1101	263
807	1102	262
808	1103	260
809	1104	259
810	1105	257
811	1106	256
812	1107	254
813	1108	253
814	1109	251
815	1110	250
816	1111	248
817	1112	247
818	1113	246
819	1114	244
820	1115	243
821	1116	241
822	1117	240
823	1118	238
824	1119	237
825	1119	235
826	1120	234
827	1121	233
828	1122	231
829	1123	230
830	1124	228
831	1125	227
832	1126	225
833	1127	224
834	1128	223
835	1129	221
836	1130	220
837	1131	218
838	1132	217
839	1133	215
840	1134	214
841	1135	213
842	1136	211
843	1137	210
844	1138	208
845	1139	207
846	1140	205
847	1140	204
848	1142	203
849	1143	201
850	1144	200
851	1145	198
852	1145	197
853	1146	196
854	1147	194
855	1148	193
856	1149	191
857	1150	190
858	1151	189
859	1152	187
860	1153	186
861	1154	184
862	1155	183
863	1156	182
864	1157	180
865	1158	179
866	1159	177
867	1160	176
868	1162	175
869	1163	173
870	1164	172
871	1165	171
872	1166	169
873	1167	168
874	1168	166
875	1169	165
876	1169	164
877	1170	162
878	1171	161
879	1172	159
880	1173	158
881	1174	157
882	1175	155
883	1176	154
884	1177	153
885	1178	151
886	1179	150
887	1180	148
888	1181	147
889	1182	146
890	1183	144
891	1184	143
892	1184	141
893	1185	140
894	1186	139
895	1187	137
896	1188	136
897	1189	135
898	1190	133
899	1191	132
900	1192	131
901	1193	129
902	1194	128
903	1195	126
904	1196	125
905	1197	124
906	1198	122
907	1199	121
908	1200	120
909	1201	118
910	1202	117
911	1202	116
912	1203	114
913	1204	113
914	1205	112
915	1206	110
916	1207	109
917	1208	107
918	1209	106
919	1210	105
920	1211	103
921	1212	102
922	1213	101
923	1214	99
924	1215	98
925	1216	97
926	1217	95
927	1218	94
928	1219	93
929	1220	91
930	1221	90
931	1222	89
932	1223	87
933	1224	86
934	1225	85
935	1225	83
936	1226	82
937	1227	81
938	1228	79
939	1229	78
940	1230	77
941	1231	75
942	1232	74
943	1233	73
944	1234	71
945	1235	70
946	1236	69
947	1237	67
948	1238	66
949	1239	65
950	1240	63
951	1241	62
952	1242	61
953	1243	59
954	1243	58
955	1244	57
956	1245	55
957	1246	54
958	1247	53
959	1248	52
960	1249	50
961	1250	49
962	1251	48
963	1252	46
964	1253	45
965	1254	44
966	1255	42
967	1256	41
968	1257	40
969	1258	38
970	1259	37
971	1259	36
972	1260	34
973	1261	33
974	1262	32
975	1263	31
976	1264	29
977	1265	28
978	1266	27
979	1267	25
980	1268	24
981	1269	23
982	1270	21
983	1271	20
984	1272	19
985	1273	18
986	1274	16
987	1275	15
988	1276	14
989	1276	12
990	1277	11
991	1278	10
992	1279	9
993	1280	7
994	1281	6
995	1282	5
996	1283	3
997	1284	2
998	1285	1
999	1286	0
